City,Industry,Average_Salary
Bratislava,Computing/Tech,140000.0000
Brattleboro,"Aerospace and Defense",60000.0000
Brattleboro,Nonprofits,43800.0000
Braunschweig,Computing/Tech,58000.0000
"Braunschweig ",Computing/Tech,45000.0000
Brea,"Accounting, Banking & Finance",42000.0000
Brea,"Transport or Logistics",67000.0000
Bremen,"Business or Consulting",82000.0000
Bremerhaven,"Health care",54870.0000
Bremerton,"Education (Higher Education)",60000.0000
Bremerton,Fitness,40000.0000
Bremerton,"Government and Public Administration",86335.0000
Brentwood,"Education (Primary/Secondary)",55232.0000
Brentwood,"Health care",114000.0000
"Brentwood ","Accounting, Banking & Finance",78000.0000
"Brentwood ",Retail,30000.0000
Brest,Computing/Tech,20400.0000
Brewster,"Marketing, Advertising & PR",135400.0000
Brewster,Veterinary,68640.0000
Brick,"Accounting, Banking & Finance",77776.0000
Bridgend,"Health care",150000.0000
Bridgeport,"Education (Primary/Secondary)",52903.0000
Bridgeport,"Health care",139000.0000
Bridgeport,Insurance,155000.0000
Bridgewater,Computing/Tech,62000.0000
Bridgewater,"Education (Higher Education)",39000.0000
Bridgewater,"Marketing, Advertising & PR",130000.0000
Brigham,"Engineering or Manufacturing",74000.0000
Brighton,"Accounting, Banking & Finance",57000.0000
Brighton,"Business or Consulting",66850.0000
Brighton,Computing/Tech,50166.6667
Brighton,"Digital Marketing",42860.0000
Brighton,"Education (Higher Education)",55000.0000
Brighton,"Engineering or Manufacturing",52200.0000
Brighton,"Environmental Consulting",52000.0000
Brighton,"Health care",30807.5000
Brighton,"Leisure, Sport & Tourism",23000.0000
Brighton,"Marketing, Advertising & PR",25632.0000
Brighton,"Media & Digital",41333.3333
Brighton,Nonprofits,43000.0000
Brighton,"Transport or Logistics",51000.0000
"Brighton ",Computing/Tech,47000.0000
"Brighton ",Recruitment,21000.0000
Brisbane,"Accounting, Banking & Finance",73673.3333
Brisbane,"Agriculture or Forestry",90000.0000
Brisbane,Computing/Tech,99555.5556
Brisbane,"Education (Higher Education)",92333.3333
Brisbane,"Education (Primary/Secondary)",78531.0000
Brisbane,"Engineering or Manufacturing",115850.0000
Brisbane,Entertainment,55000.0000
Brisbane,"Government and Public Administration",105862.0000
Brisbane,"Health care",98000.0000
Brisbane,"Hospitality & Events",32000.0000
Brisbane,Law,76000.0000
Brisbane,"Marketing, Advertising & PR",57133.3333
Brisbane,"Media & Digital",140000.0000
Brisbane,Mining,83200.0000
Brisbane,Nonprofits,85000.0000
Brisbane,Sales,43313.0000
Brisbane,"Transport or Logistics",100000.0000
"Brisbane ",Computing/Tech,89000.0000
"Brisbane ","Education (Higher Education)",102000.0000
"Brisbane ","Government and Public Administration",106000.0000
"Brisbane ",Law,70000.0000
"Brisbane ",Medical,69000.0000
"Brisbane ",Retail,85000.0000
Bristol,"Accounting, Banking & Finance",37666.6667
Bristol,"Business or Consulting",61750.0000
Bristol,Computing/Tech,55278.7273
bristol,"Education (Higher Education)",39520.0000
Bristol,"Education (Primary/Secondary)",38000.0000
Bristol,"Engineering or Manufacturing",46333.3333
Bristol,Entertainment,83500.0000
Bristol,"Government and Public Administration",43670.7143
Bristol,"Health care",25898.5000
Bristol,Law,25000.0000
Bristol,"Law Enforcement & Security",24870.0000
Bristol,Manufacturing,89000.0000
Bristol,"Media & Digital",51000.0000
Bristol,Nonprofits,32550.0000
Bristol,"Property or Construction",27000.0000
Bristol,"Transport or Logistics",55.0000
Bristol,Unknown,33000.0000
Bristol,"Utilities & Telecommunications",50000.0000
"Bristol ","Accounting, Banking & Finance",24000.0000
"Bristol ",Computing/Tech,40000.0000
"Bristol ","Government and Public Administration",37000.0000
"Bristol ","Health care",98000.0000
"Bristol ",Nonprofits,35208.0000
Bristow,"Health care",106080.0000
"British columbia","Agriculture or Forestry",68500.0000
"British Columbia","Education (Higher Education)",106469.0000
"British Columbia","Government and Public Administration",84333.3333
"British Columbia",Nonprofits,65000.0000
Brittany,"Transport or Logistics",24000.0000
Brockton,"Engineering or Manufacturing",79600.0000
Brockville,Immigration,43000.0000
Brockville,Law,36000.0000
Brockville,"Public Library",47000.0000
"Broken Arrow",Computing/Tech,32747.0000
"Broken Arrow","Engineering or Manufacturing",37638.0000
"Broken Arrow",Entertainment,40500.0000
"Broken Arrow ",Restaurant,38000.0000
Bronx,Computing/Tech,65000.0000
Bronx,"Education (Higher Education)",85000.0000
Bronx,"Education (Primary/Secondary)",44000.0000
Bronx,Law,89470.0000
Bronx,Nonprofits,70000.0000
Bronx,"Social Work",67500.0000
Brookfield,Computing/Tech,120000.0000
Brookfield,"Health care",46725.0000
Brookfield,Nonprofits,60000.0000
Brooklyn,"Accounting, Banking & Finance",150000.0000
Brooklyn,"Art & Design",77920.0000
Brooklyn,"Business or Consulting",90000.0000
Brooklyn,Computing/Tech,112197.2727
Brooklyn,"Education (Higher Education)",115500.0000
Brooklyn,"Education (Primary/Secondary)",84285.7143
Brooklyn,"Government and Public Administration",114000.0000
Brooklyn,"Health care",79175.0000
Brooklyn,Law,103000.0000
Brooklyn,Library,58000.0000
Brooklyn,"Marketing, Advertising & PR",65000.0000
Brooklyn,"Media & Digital",93875.0000
Brooklyn,Nonprofits,79625.0000
Brooklyn,"Property or Construction",45000.0000
Brooklyn,Retail,58589.5000
Brooklyn,"Social Work",64766.6667
Brooklyn,"Supply Chain",98736.0000
Brooklyn,"Waste Management",37000.0000
"Brooklyn ","Business or Consulting",87550.0000
"Brooklyn ","E-Commerce ",58500.0000
"Brooklyn ","Education (Higher Education)",115000.0000
"Brooklyn ","Education (Primary/Secondary)",89000.0000
"Brooklyn ","Engineering or Manufacturing",100000.0000
"Brooklyn ","Health care",65000.0000
"Brooklyn ",Law,81000.0000
"Brooklyn ",Nonprofits,120000.0000
"Brooklyn ","Professional Services",78000.0000
"Brooklyn Park","Engineering or Manufacturing",110000.0000
Brookston,"Education (Primary/Secondary)",38083.0000
Brooksville,"Engineering or Manufacturing",38000.0000
"Brooksville ","Government and Public Administration",80000.0000
Broomfield,"Accounting, Banking & Finance",55325.0000
Broomfield,Computing/Tech,100083.3333
Broomfield,"Engineering or Manufacturing",72200.0000
Broomfield,Recruitment,86500.0000
Brossard,Computing/Tech,55000.0000
Brownsville,"Education (Primary/Secondary)",48475.0000
Brunswick,"Education (Higher Education)",65000.0000
Brunswick,"Health care",53000.0000
Brunswick,"Property or Construction",55000.0000
Brunswick,Sales,75000.0000
Brunswick,"Social Work",77600.0000
Brussel,"Accounting, Banking & Finance",81500.0000
Brussel,"Business or Consulting",40000.0000
Brussel,Computing/Tech,77375.0000
Brussel,"Education (Primary/Secondary)",60000.0000
Brussel,"Engineering or Manufacturing",85000.0000
Brussel,"Government and Public Administration",48900.0000
Brussel,"Health care",170000.0000
Brussel,Insurance,55680.0000
Brussel,Nonprofits,29700.0000
Brussel,Translation,100000.0000
"Brussel ",Unknown,32400.0000
Bryan,Biotech,52000.0000
Bryan,"Education (Higher Education)",51435.0000
"Bryn Mawr","Health care",97000.0000
Bucharest,Computing/Tech,20300.0000
Bucharest,"Engineering or Manufacturing",80000.0000
Buckhannon,"Education (Primary/Secondary)",39820.0000
"Buckinghamshire ","Education (Primary/Secondary)",29420.0000
Budapest,Computing/Tech,69241.0000
Budapest,Nonprofits,45480.0000
"Buenos Aires ","Agriculture or Forestry",114000.0000
Buffalo,Insurance,100000.0000
"Buffalo Grove","Property or Construction",50000.0000
burbank,"Accounting, Banking & Finance",89900.0000
Burbank,"Engineering or Manufacturing",70000.0000
Burbank,Entertainment,148000.0000
Burbank,"Health care",31000.0000
Burbank,"Media & Digital",135200.0000
Burgenland,Computing/Tech,30000.0000
Burgos,"Health care",26000.0000
Burleson,"Education (Primary/Secondary)",72500.0000
Burlingame,Law,85000.0000
"Burlingame ","Health care",56000.0000
Burlington,"Accounting, Banking & Finance",52000.0000
Burlington,Architecture,48880.0000
Burlington,Biotech,80000.0000
Burlington,"Business or Consulting",92500.0000
Burlington,Computing/Tech,118062.5000
Burlington,"Education (Higher Education)",33000.0000
Burlington,"Education (Primary/Secondary)",83757.0000
Burlington,"Engineering or Manufacturing",115000.0000
Burlington,"Government and Public Administration",73028.3333
Burlington,"Health care",70333.3333
Burlington,"Hospitality & Events",55000.0000
Burlington,"International Development",101900.0000
Burlington,"Marketing, Advertising & PR",71333.3333
Burlington,"Media & Digital",98000.0000
Burlington,Medical,91155.0000
Burlington,Mining,55000.0000
Burlington,Nonprofits,49443.0000
Burlington,"Property or Construction",55000.0000
Burlington,Recruitment,130000.0000
Burlington,Retail,31946.6667
Burlington,"Social Work",95000.0000
Burlington,"Utilities & Telecommunications",120000.0000
"Burlington ","Business or Consulting",49120.0000
"Burlington ","Food Manufacturing",84000.0000
"Burlington ","Social Work",51000.0000
Burly,Nonprofits,68571.0000
Burnaby,"Accounting, Banking & Finance",90100.0000
Burnaby,"Utilities & Telecommunications",63000.0000
Burnsville,"Education (Primary/Secondary)",45000.0000
Butler,"Education (Primary/Secondary)",23337.0000
BWG,"Government and Public Administration",62572.0000
"Byron Bay","Education (Primary/Secondary)",78000.0000
"Byron Bay","Marketing, Advertising & PR",60300.0000
Calgary,"Accounting, Banking & Finance",99777.7778
Calgary,Architecture,80000.0000
Calgary,"Business or Consulting",78750.0000
Calgary,Computing/Tech,107462.7143
Calgary,"Education (Higher Education)",63970.6250
Calgary,"Education (Primary/Secondary)",92000.0000
Calgary,"Engineering or Manufacturing",77980.0000
Calgary,"Environment - Oil and Gas",124800.0000
Calgary,"Government and Public Administration",101600.0000
Calgary,"Health care",81000.0000
Calgary,"Hospitality & Events",49000.0000
Calgary,Insurance,89000.0000
Calgary,Law,59346.6667
Calgary,"Marketing, Advertising & PR",95000.0000
Calgary,Nonprofits,70313.3333
Calgary,"Oil and Gas",125386.6667
Calgary,"Property or Construction",56750.0000
Calgary,Publishing,52000.0000
Calgary,Recruitment,67500.0000
Calgary,Retail,35000.0000
Calgary,Sales,52200.0000
Calgary,"Social Work",53500.0000
Calgary,"Transport or Logistics",93875.0000
Calgary,"Utilities & Telecommunications",98625.0000
"Calgary ","Engineering or Manufacturing",112320.0000
"Calgary ",Sales,100000.0000
Calhoun,"Engineering or Manufacturing",56000.0000
California,"Education (Primary/Secondary)",18000.0000
California,Recruitment,60000.0000
"Calumet ","Accounting, Banking & Finance",80000.0000
Camarillo,"Engineering or Manufacturing",107000.0000
Camarillo,Nonprofits,37000.0000
"Camarillo ",Computing/Tech,69600.0000
"Camarillo ","Engineering or Manufacturing",77000.0000
Cambridge,"Accounting, Banking & Finance",72446.6667
Cambridge,"Art & Design",65300.0000
Cambridge,Biology,78000.0000
Cambridge,"Biomedical Research",120000.0000
Cambridge,Biotech,99820.1333
Cambridge,"Business or Consulting",95500.0000
Cambridge,Computing/Tech,107341.9184
Cambridge,"Contractor ",105000.0000
Cambridge,"Education (Higher Education)",71270.3158
Cambridge,"Education (Primary/Secondary)",65000.0000
Cambridge,"Engineering or Manufacturing",77258.3333
Cambridge,Entertainment,55000.0000
Cambridge,"Government and Public Administration",106000.0000
Cambridge,"Health care",72913.4286
Cambridge,Insurance,52260.0000
Cambridge,Law,29214.0000
Cambridge,"Marketing, Advertising & PR",79000.0000
Cambridge,"Media & Digital",43326.7500
Cambridge,Nonprofits,82485.0000
Cambridge,Pharmaceutical,81700.0000
Cambridge,PhD,19000.0000
Cambridge,"Property or Construction",76500.0000
Cambridge,Publishing,88750.0000
Cambridge,Recruitment,115000.0000
Cambridge,Research,54000.0000
Cambridge,"Research and Development",162500.0000
Cambridge,"Staffing agency",82000.0000
"Cambridge ","Accounting, Banking & Finance",27825.0000
"Cambridge ",Biotech,128416.6667
"Cambridge ",Computing/Tech,108333.3333
"Cambridge ","Education (Higher Education)",65833.3333
"Cambridge ","Engineering or Manufacturing",78000.0000
"Cambridge ","Entrepreneur high net worth ",46000.0000
"Cambridge ","Health care",86142.5000
"Cambridge ","Marketing, Advertising & PR",68000.0000
"Cambridge ",Nonprofits,59500.0000
"Cambridge ",Pharmaceutical/Biotechnology,160000.0000
"Cambridge ",Retail,22000.0000
"Cambridge ",Sales,148500.0000
"Cambridge ","Social Work",20800.0000
Camden,"Accounting, Banking & Finance",75000.0000
Camden,Communications,76500.0000
Camden,Computing/Tech,93500.0000
Camden,"Education (Primary/Secondary)",103000.0000
"Cameron ","Health care",57000.0000
"Camp hill",Computing/Tech,73000.0000
"Camp Hill","Health care",72000.0000
"Camp hill ","Education (Primary/Secondary)",65000.0000
"Camp Verde","Government and Public Administration",32000.0000
Campbell,Computing/Tech,165000.0000
"Campbell ","Education (Primary/Secondary)",69372.0000
"Campbell River","Health care",54080.0000
"Campbell River ","Agriculture or Forestry",72100.0000
Canada,"Education (Higher Education)",45000.0000
Canada,"Engineering or Manufacturing",86000.0000
Canada,"Government and Public Administration",117000.0000
Canada,"Health care",70000.0000
Canada,Nonprofits,53000.0000
"Canada ","Property or Construction",70000.0000
Canberra,"Accounting, Banking & Finance",166400.0000
Canberra,"Art & Design",57000.0000
Canberra,"Business or Consulting",120000.0000
Canberra,Construction,116000.0000
Canberra,"Education (Higher Education)",135100.0000
Canberra,"Government and Public Administration",106544.3333
Canberra,Law,75000.0000
Canberra,"Private Equity",56000.0000
Canberra,Research,86158.0000
Canberra,Retail,60000.0000
Cannock,"Engineering or Manufacturing",31594.0000
Canton,"Accounting, Banking & Finance",54333.3333
Canton,"Auto Manufacture",104000.0000
Canton,Computing/Tech,70960.0000
Canton,"Education (Higher Education)",65000.0000
Canton,"Engineering or Manufacturing",75000.0000
Canton,Law,45000.0000
Canton,Nonprofits,42500.0000
Canton,"Property or Construction",38000.0000
Canyon,Computing/Tech,75000.0000
"Cape Canaveral","Engineering or Manufacturing",91500.0000
"Cape Cod region","Oceanography Research",45000.0000
"Cape Girardeau",Computing/Tech,39390.0000
"Cape Girardeau","Education (Higher Education)",43696.0000
"Cape Girardeau ","Accounting, Banking & Finance",52500.0000
"Cape Town",Computing/Tech,120000.0000
"Cape Town ",Computing/Tech,78000.0000
"Capital Region","Property or Construction",135000.0000
Carbondale,"Engineering or Manufacturing",126000.0000
Carbondale,"Health care",46800.0000
Carbondale,"Property or Construction",84000.0000
Cardiff,"Business or Consulting",30500.0000
Cardiff,Computing/Tech,63500.0000
Cardiff,"Education (Higher Education)",39500.0000
Cardiff,"Engineering or Manufacturing",38500.0000
Cardiff,"Government and Public Administration",36097.5000
Cardiff,"Hospitality & Events",30276.5000
Cardiff,Nonprofits,19671.0000
Cardiff,Recruitment,28000.0000
Cardiff,"Transport or Logistics",30300.0000
"Cardiff ","Accounting, Banking & Finance",32500.0000
Cardington,"Accounting, Banking & Finance",30000.0000
Carlinville,"Education (Higher Education)",45000.0000
Carlisle,"Accounting, Banking & Finance",10500.0000
Carlisle,"Education (Higher Education)",46000.0000
"Carlisle ","Accounting, Banking & Finance",27500.0000
Carlsbad,"Accounting, Banking & Finance",62400.0000
Carlsbad,"Business or Consulting",69000.0000
Carlsbad,Computing/Tech,112250.0000
Carmarthen,"Health care",31365.0000
Carmel,"Engineering or Manufacturing",70000.0000
Carmel,"Government and Public Administration",65000.0000
Carmel,"Hospitality & Events",59000.0000
Carpinteria,"Accounting, Banking & Finance",50000.0000
Carpinteria,Manufacturing,54538.0000
Carrollton,"Education (Higher Education)",55846.6667
Carrollton,"Engineering or Manufacturing",51000.0000
Carrollton,"Health care",50060.0000
Carrollton,Nonprofits,96000.0000
Carson,"Education (Higher Education)",72000.0000
Carson,"Government and Public Administration",70754.7500
Carson,Law,99250.0000
Carson,"Marketing, Advertising & PR",45000.0000
Carson,Nonprofits,87500.0000
Cartersville,Automotive,50000.0000
"Cartersville ",Nonprofits,39000.0000
Cary,"Accounting, Banking & Finance",95000.0000
Cary,Computing/Tech,97142.8571
Cary,"Health care",74500.0000
Cary,"Marketing, Advertising & PR",95000.0000
Cary,"Media & Digital",53500.0000
Cary,Retail,39468.0000
Casper,"Education (Primary/Secondary)",78000.0000
Casper,"Media & Digital",45000.0000
Castellon,Unknown,50.0000
Castlegar,"Utilities & Telecommunications",110000.0000
Caterham,Insurance,39140.0000
Catonsville,"Education (Higher Education)",37247.0000
CDA,Insurance,47000.0000
"Cedar Falls","Education (Primary/Secondary)",50000.0000
"Cedar Grove","Health care",64147.0000
"Cedar Rapids","Accounting, Banking & Finance",50614.0000
"Cedar Rapids",Computing/Tech,126000.0000
"Cedar Rapids","Engineering or Manufacturing",96500.0000
"Cedar rapids","Government and Public Administration",105000.0000
"Cedar Rapids","Hospitality & Events",40040.0000
"Cedar Rapids","Internal Communications",100800.0000
"Cedar Rapids","Media & Digital",43680.0000
"Cedar Rapids",Nonprofits,74000.0000
"Cedar Rapids",Retail,38000.0000
"Cedar Rapids ",Computing/Tech,142000.0000
"Cedar Rapids ",Nonprofits,37000.0000
Cedarhurst,"Media & Digital",96200.0000
Cedarville,Computing/Tech,160000.0000
Celina,"Education (Primary/Secondary)",46000.0000
Centennial,"Property or Construction",60000.0000
Centennial,"Utilities & Telecommunications",62000.0000
"Centennial ",Law,42800.0000
"Centerville ","Accounting, Banking & Finance",38000.0000
Central,"Accounting, Banking & Finance",37900.0000
Central,"Education (Higher Education)",50000.0000
Central,"Health care",49000.0000
Central,"Public Library",62000.0000
Central,Retail,32448.0000
"Central Illinois","Accounting, Banking & Finance",115000.0000
"Central Iowa","Education (Primary/Secondary)",49000.0000
"Central Kentucky","Education (Higher Education)",41470.0000
"Central Maine","Education (Higher Education)",44000.0000
"Central MD","Accounting, Banking & Finance",50000.0000
"Central NJ","Government and Public Administration",46758.0000
"Central NJ",Nonprofits,93000.0000
"Central NY","Education (Higher Education)",59713.0000
"Central Ohio","Media & Digital",42000.0000
"Central PA","Engineering or Manufacturing",61000.0000
"Central PA",Insurance,53000.0000
"Central PA",Nonprofits,47500.0000
"Central Qld","Engineering or Manufacturing",110000.0000
"Central Valley","Education (Higher Education)",99000.0000
"Central Virginia","Education (Higher Education)",56000.0000
"Central Virginia",Nonprofits,98000.0000
Centralia,"Agriculture or Forestry",72000.0000
Centreville,Computing/Tech,72000.0000
Ceres,"Utilities & Telecommunications",57550.0000
Cerritos,Food,29000.0000
Cerritos,Restaurant,29120.0000
CFL,"Government and Public Administration",48000.0000
Chambersburg,"Education (Higher Education)",1000.0000
Chamonix,Computing/Tech,74000.0000
Champaign,"Accounting, Banking & Finance",36075.0000
Champaign,Computing/Tech,82000.0000
Champaign,"Education (Higher Education)",52628.0000
Champaign,"Engineering or Manufacturing",100000.0000
Champaign,"Government and Public Administration",65160.0000
Champaign,"Health care",71000.0000
Champaign,Insurance,48500.0000
Champaign,"Marketing, Advertising & PR",25012.0000
Champaign,"Property or Construction",105000.0000
Champaign,"Public Library",48963.0000
"Champaign ","Agriculture or Forestry",66000.0000
"Champaign Urbana","Education (Higher Education)",54000.0000
Chandler,"Accounting, Banking & Finance",55000.0000
Chandler,Computing/Tech,71000.0000
Chandler,"Education (Higher Education)",69355.0000
Chandler,"Engineering or Manufacturing",114500.0000
Chandler,"Health care",37440.0000
Chandler,Recruitment,98000.0000
Chandler,Retail,69500.0000
Chanhassen,Computing/Tech,85000.0000
Chanhassen,"Marketing, Advertising & PR",77250.0000
Chanhassen,"Media & Digital",72800.0000
"Chanhassen ","Accounting, Banking & Finance",93000.0000
Chantilly,Computing/Tech,168500.0000
Chantilly,"Engineering or Manufacturing",83500.0000
Chantilly,"Government and Public Administration",120000.0000
Chantilly,Nonprofits,56825.0000
Chantilly,Recruitment,116600.0000
Chantilly,Sales,103000.0000
"Chapel Hill","Accounting, Banking & Finance",70025.0000
"Chapel Hill","Business or Consulting",72500.0000
"Chapel Hill","Clinical Research",44000.0000
"Chapel Hill",Computing/Tech,114000.0000
"Chapel hill","Education (Higher Education)",63729.0833
"Chapel Hill","Engineering or Manufacturing",110000.0000
"Chapel Hill","Health care",63000.0000
"Chapel Hill","Media & Digital",68900.0000
"Chapel Hill",Nonprofits,74366.6667
"Chapel Hill",Sales,50003.0000
"Chapel Hill","Utilities & Telecommunications",140000.0000
"Charles Town","Education (Higher Education)",70000.0000
Charleston,"Accounting, Banking & Finance",74500.0000
Charleston,"Business or Consulting",94000.0000
Charleston,Computing/Tech,136000.0000
Charleston,"Defense Contractor",95000.0000
Charleston,"Education (Higher Education)",32000.0000
Charleston,"Education (Primary/Secondary)",44750.0000
Charleston,"Engineering or Manufacturing",70000.0000
Charleston,"Government and Public Administration",68926.6667
Charleston,"Hospitality & Events",56250.0000
Charleston,Insurance,61500.0000
Charleston,Manufacturing,77000.0000
Charleston,"Marketing, Advertising & PR",45000.0000
Charleston,"Property or Construction",52000.0000
Charleston,Retail,34017.5000
Charleston,Veterinary,36000.0000
"Charleston ","Education (Higher Education)",41600.0000
"Charleston ","Government and Public Administration",33534.0000
"Charleston ",Nonprofits,46000.0000
"Charleston ",Publishing,35000.0000
Charlestown,"Engineering or Manufacturing",75000.0000
Charlestown,"Grocery Distribution",50000.0000
Charlotte,"Accounting, Banking & Finance",85663.6364
Charlotte,"Agriculture or Forestry",150000.0000
Charlotte,"Art & Design",32000.0000
Charlotte,"Business or Consulting",106000.0000
Charlotte,"Commercial Real Estate",64250.0000
Charlotte,Computing/Tech,81118.3636
Charlotte,"Education (Higher Education)",59550.0000
Charlotte,"Education (Primary/Secondary)",68000.0000
Charlotte,"Engineering or Manufacturing",71125.0000
Charlotte,Finance,90000.0000
Charlotte,"Government and Public Administration",68833.3333
Charlotte,"Health care",73848.3333
Charlotte,Insurance,66520.0000
Charlotte,Law,68840.0000
Charlotte,Library,75790.5000
charlotte,Manufacturing,72000.0000
Charlotte,"Marketing, Advertising & PR",85300.0000
Charlotte,"Media & Digital",109333.3333
Charlotte,Nonprofits,79700.0000
Charlotte,"Print / Mail",87000.0000
Charlotte,"Property or Construction",94000.0000
Charlotte,"Real Estate",40000.0000
Charlotte,Recruitment,91000.0000
Charlotte,Retail,93600.0000
Charlotte,"Utilities & Telecommunications",60416.6667
"Charlotte ","Accounting, Banking & Finance",106250.0000
"Charlotte ","Education (Higher Education)",77272.3333
"Charlotte ","Health care",75500.0000
"Charlotte ","Hospitality & Events",59800.0000
"Charlotte ",Law,56750.0000
"Charlotte ",Nonprofits,85000.0000
"Charlotte ",Unknown,74000.0000
"Charlotte ","User Experience Research",140000.0000
"Charlotte ","Utilities & Telecommunications",105000.0000
"Charlotte  ","Government and Public Administration",75000.0000
"Charlotte metropolitan ","Marketing, Advertising & PR",89000.0000
Charlottesville,"Accounting, Banking & Finance",72600.0000
Charlottesville,Computing/Tech,113910.5000
Charlottesville,"Education (Higher Education)",59214.2857
Charlottesville,"Education (Primary/Secondary)",47612.0000
Charlottesville,"Engineering or Manufacturing",67000.0000
charlottesville,"Health care",56149.0000
Charlottesville,"Hospitality & Events",50180.0000
Charlottesville,"Marketing, Advertising & PR",83200.0000
Charlottesville,Recruitment,93000.0000
Charlottesville,Research,43000.0000
Charlottesville,"Science ",54000.0000
Charlottesville,"Utilities & Telecommunications",57000.0000
"Charlottesville ","Accounting, Banking & Finance",120000.0000
"Charlottesville ","Business or Consulting",39000.0000
"Charlottesville ",Computing/Tech,61000.0000
"Charlottesville ","Education (Higher Education)",45000.0000
"Charlottesville ","Health care",93000.0000
"Charlottesville ",Nonprofits,78000.0000
"Charlottesville ","Property or Construction",56000.0000
"Charlottesville ","Staffing agency",110500.0000
Charlottetown,"Education (Higher Education)",114000.0000
Charlottetown,"Government and Public Administration",102500.0000
Charlottetown,"Hospitality & Events",40000.0000
Charlton,"Health care",85000.0000
Chaska,"Engineering or Manufacturing",117000.0000
Chatham,"Property or Construction",60000.0000
Chatsworth,"Consumer Goods",130000.0000
Chattanooga,"Accounting, Banking & Finance",55500.0000
Chattanooga,"Art & Design",67000.0000
Chattanooga,Computing/Tech,129245.0000
Chattanooga,"Education (Higher Education)",67000.0000
Chattanooga,"Education (Primary/Secondary)",65000.0000
Chattanooga,"Health care",93000.0000
Chattanooga,Insurance,75333.3333
Chattanooga,Law,73666.6667
Chattanooga,"Marketing, Advertising & PR",55000.0000
Chattanooga,"Media & Digital",35000.0000
Chattanooga,Nonprofits,40881.0000
Chattanooga,Sales,38000.0000
Chattanooga,"Transport or Logistics",66000.0000
Chattanooga,"Utilities & Telecommunications",76887.5000
"Chattanooga ","Education (Primary/Secondary)",43000.0000
"Chattanooga ",Insurance,109000.0000
"Chehalis ","Business or Consulting",105000.0000
Chelmsford,"Education (Primary/Secondary)",74000.0000
Chelmsford,"Engineering or Manufacturing",96000.0000
Chelmsford,Insurance,58500.0000
Chelmsford,"Social Work",90000.0000
Chelmsford,"Utilities & Telecommunications",50000.0000
"Chelmsford ",Retail,61000.0000
Chelsea,"Hospitality & Events",135000.0000
Chelsea,Nonprofits,49939.0000
Cheltenham,Computing/Tech,38300.0000
Cheltenham,"Education (Higher Education)",61000.0000
Chemnitz,Journalism,30000.0000
Chennai,"Education (Primary/Secondary)",60000.0000
Chennai,"Marketing, Advertising & PR",4740.0000
Cheraw,"Engineering or Manufacturing",44930.0000
"Cherry Hill","Accounting, Banking & Finance",75000.0000
"Cherry Hill",Computing/Tech,60000.0000
"Cherry Hill","Education (Primary/Secondary)",44800.0000
"Cherry Hill",Library,51300.0000
"Cherry Hill",Nonprofits,65000.0000
"Cherry Hill",Recruitment,70000.0000
"Cherry Hill",Retail,24000.0000
"Cherry Hill",Sales,76000.0000
"Cherry hill",Unknown,140000.0000
"Cherry Hill ",Retail,40000.0000
Chesapeake,"Government and Public Administration",51500.0000
CHESAPEAKE,"Government Contractor",123000.0000
Chesapeake,"Health care",135000.0000
Chesapeake,Law,110000.0000
Chesapeake,Retail,21000.0000
Cheshire,"Engineering or Manufacturing",74200.0000
Cheshire,"Health care",85000.0000
Cheshire,Law,26500.0000
"Cheshire ","Education (Primary/Secondary)",52000.0000
Chester,"Chemical Manufacturing",47902.0000
Chester,"Education (Higher Education)",42000.0000
Chester,"Education (Primary/Secondary)",47000.0000
Chester,"Engineering or Manufacturing",125000.0000
Chester,"Health care",45000.0000
Chester,Nonprofits,92000.0000
"Chester ","Accounting, Banking & Finance",133000.0000
"Chester Springs","Health care",136000.0000
Chesterbrook,Computing/Tech,69000.0000
Chesterfield,"Education (Primary/Secondary)",32448.0000
Chesterfield,Nonprofits,27640.0000
Chesterfield,"Public Library",47000.0000
Chesterfield,Retail,54470.0000
"Chesterfield ","Health care",50336.0000
Chestertown,"Education (Higher Education)",43860.0000
"Chestnut Hill","Education (Higher Education)",64000.0000
"Chestnut Hill","Education (Primary/Secondary)",97000.0000
Cheswick,"Engineering or Manufacturing",68000.0000
"Chevy Chase",Insurance,82000.0000
Cheyenne,"Education (Primary/Secondary)",90000.0000
Cheyenne,"Public Library",81000.0000
Cheyenne,"State DOT",45000.0000
"Cheyenne ","Health care",45000.0000
Chicacgo,"Art & Design",40000.0000
Chicago,Academic,48500.0000
Chicago,"Accounting, Banking & Finance",96702.2000
Chicago,"Aerospace and Defense",107000.0000
Chicago,Architecture,59250.0000
Chicago,"Art & Design",76339.1667
Chicago,"Association Management",68000.0000
Chicago,"Auction house",55000.0000
Chicago,"Business or Consulting",98245.6250
Chicago,"Commercial Real Estate",105000.0000
Chicago,Compliance,112000.0000
Chicago,Computing/Tech,109238.7480
Chicago,"Consumer Goods",117000.0000
Chicago,"Customer Service",62000.0000
Chicago,Eap,73000.0000
Chicago,"Education (Higher Education)",74655.5303
Chicago,"Education (Other)",52500.0000
Chicago,"Education (Primary/Secondary)",76664.6154
Chicago,"Engineering or Manufacturing",100752.7391
Chicago,Entertainment,77333.3333
Chicago,"Environmental Consulting",48500.0000
Chicago,Food,104000.0000
Chicago,Gambling,69410.0000
Chicago,"Government and Public Administration",73457.7083
Chicago,"Health care",88759.8056
