Job_Title,Total_monetary_compensation
"Patient Representative",38360
"Content Manager and Copywriter",75497
"Division Director",190000
"Integration Architect ",102500
"Lead Technical Training Consultant",135000
"Manager, Revenue Operations",110000
"Manager, Training",112700
"Business Development Manager ",255497
"Laboratory assistant",88297
Paramedic,235341
Psychometrist,137597
"Sales Operations Manager ",296000
"Senior Quality Assurance Analyst",314097
"Student Advisor",97997
"VP of Business Development",159497
"Tax Paraprofessional ",52250
"Teacher-Public School, Suburb",98500
"Technical consultant",137097
"Systems Engineer II",327652
"Child Support Supervisor",79782
"Operations Director ",170565
"Safety and Quality Coordinator",66000
"Director of Human Resources ",788594
"Crisis Clinician ",128994
"Staff Software Developer",180000
Paraprofessional/Paraeducator,36834
"Senior Content Strategist",563717
"Team Lead Inbound Scheduling",81000
"Account Officer",50000
"Print and Mail Clerk",48300
"Information Security Advisor",131297
"Marketing and Communications Lead",104497
"Benefits and Leave Manager",98000
"Application Specialist",107500
"Policy analyst ",335626
"Specialist ",199181
"Clubs Coordinator ",37900
"Community Resource Coordinator",73497
"Digital Communications Specialist ",87497
"Investment Advisor",105000
"Automation Applications Engineer",102000
"Group Retirement Plan Consultant",83340
"Farm Site Manager ",87100
"Municipal Engineer",99497
"Constituency Assistant",158337
"Protection and Control Technician",123497
"Restaurant General Manager",111000
"Manager ",940985
"Manager, Finance",97497
"Health Information Services Supervisor",80497
"Addictions Case Manager",63497
"Medical Secretary II",70497
"Extern Coordinator",130013
"Bylaw Enforcement Officer",76500
"Marketing Manager ",1285988
"Director, Learning Resource Development",88497
"Manager Indigenous Services",110000
"Registered Psychotherapist",81497
"Accessibility Coordinator",157820
"Digital Content Assistant",71466
"Licensing Coordinator",54497
"Physiotherapy Assistant",46777
"Office Administrator/Tenant Coordinator",43687
"Administration Support",110694
"Instructional Assistant",107302
"Manager Mental Health Program",106497
"Ceo ",177000
"Pension Advisory Officer",78000
"Records Management Analyst",244491
"Administrative Information Management Specialist Supervisor / ATIP coordinator",65497
"Administrative Judge ",148497
"Lead Graphic Designer ",69497
"Substitute Teacher",231262
"Senior Auditor",638589
"Program assistant ",167491
"Aerospace Design Engineer",200694
"HR Administrator, Academic Department",99497
"Campaign Manager",746488
"Benefits Officer",66150
"Arts Producer",85497
"Assistant Acquisitions Editor",57104
"Assistant Director of Faculty Programs",98497
"Operations Consultant",351497
"Assistant Director of Institutional Research",225994
"Assistant Director, Data Integrity",85497
"Assistant Registrar for Academic Services",90497
"Associate Director of Academics",199200
"Associate Director of Alumni Relations",179494
"Business Intelligence Developer",349194
"Sr. Consultant",207000
"Communications Advisor",269994
"Helpdesk Analyst",188703
"Director, Prospect Research",105497
"Digital Communications and Web Manager",88996
"Director of Administration for [academic dept]",88497
"Director of Student Affairs",102497
"Faculty Assistant",141626
"Application Development Analyst",133125
Assistant,485365
"Financial Officer",203994
"Jr. Member of Technical Staff",104241
Bookkeeper,1202572
"Database Assistant ",68497
"Machine Learning Engineer",478994
"Director of Economics",173497
"Manager of Business Intelligence",164000
"Manager of Communications and Development",86987
"Director of Finance and Operations, Faculty Member",78097
"PeopleSoft Developer",236494
"Pharmacology Specialist, Scientist I.",140000
"Platform Operations Engineer",88969
"Assistant Nurse Manager",167640
"Principle SRE",163497
"Production Engineer",307697
"Legislative Auditor",92397
"Public Affairs Coordinator",73497
"Biostatistician I",100000
"Manager - Marketing and Communication",101500
"Publication Manager and Social Media Coordinator",98497
"Reporting and Data Analyst",101497
"Marketing and Communications Coordinator",200991
"Education Coordinator",232988
"Clinical Nurse I",70497
"Placement Coordinator",63940
"Change Manager",317594
"Food Processing Inspector",85000
"Payment Services Officer",271091
"Senior process development engineer",102000
"Senior Research and Training Associate",77347
"Tax Specialist ",25380
"Senior staff engineer",557997
"Software Engineer for Safety Critical and Fault Tolerant Systems",109497
"Developer II",103000
"Sr. BI Engineer",131000
"Sr. Project Coordinator ",88497
"Scheduling Administrator",66807
"Perfusion ",115000
"Senior business systems analyst",543392
"Writer and researcher",70700
"Adjunct professor",274982
"Assistant Director, Phonathon Program",77717
"Business Process Specialist",73277
"Chemistry PhD student",48497
"Customer Support/Office Manager",52497
"Digital Content Management Librarian",101497
"Technical Program Manager II",143000
"Operations Manager ",841553
"Web applications developer",96497
"Senior Customer Service Representative",109014
"Software Developer II",368347
"Records and Information Coordinator",102641
"Case Manager",1914257
"Senior System Administrator",125497
"Senior Data Analytics Developer",175000
"Sr. Associate",73500
"Administrator ",313719
"Student Recruiter, National",63921
"Event Coordinator ",93109
"Senior Technician",259945
"News Anchor",58497
"Regulatory Affairs Associate",82500
"Director of Business Development",728497
"Senior Administrative Assistant",641785
"Medical Scientist",69497
"Surgical technologist ",136497
"Content Specialist ",136994
"Product Engineer, Robotics and Sensors ",113497
"Senior Manager, Learning and Development",221994
"Web Analyst",89900
"Reliability Engineer in Training",100000
"Project Coordinator ",737319
"Senior financial administrator ",111997
"Clinician II",82497
"Town Clerk ",78000
"UX Designer ",1177500
"InfoSec Risk and Compliance Analyst ",98500
"Cytotechnologist ",95657
"Assistant principal ",342994
"Childcare Worker",79994
"Plant Controller",225000
"School Library Media Specialist",175994
"Language Arts teacher, team lead ",82869
"Instructor, University Studies",133497
"Metadata Librarian",172315
"Senior IT analyst ",106000
"Front office supervisor ",43497
"UX Specialist",73497
"Customer Success Specialist",219997
"Personal Executive Assistant ",13552
"Master's Student and Teaching Assistant",39918
"Lead Teacher",86197
"Engineer in Training",101197
"Pipeline Integrity Engineer",105000
"Sr. Project Engineer ",388000
"Business Intelligence Lead",85497
"Associate Banker",88794
"Billing and Accounts Receivable Coordinator ",42000
Buyer,1201436
"Client Support",61000
"Community and Media Engagement",50497
"Compliance Officer",933626
"Computer Scientist",407291
"Maintenance ",40000
"Museum Executive Director ",61497
"Regional Associate",78497
"Software Developer III",392494
"Software Tester",195497
"Web Application Developer ",88497
"Applications Engineer",375690
"Associate Archivist",202190
"Web Specialist",52887
"Procurement Manager",585691
"Underwriting manager",408797
"Digital Skills Developer ",47497
"HR Analyst/Advisor",41497
"System Administrator ",1529367
"Community Engagement Coordinator",97217
"Health Communications",77497
"Communications Administrator",62497
"Optical Receptionist and Frame Stylist",50997
"Universal Associate",32000
"Student Success Center Coordinator",58497
"Associate Vice President Students",168497
"Associate Analytics Engineer",98497
"Associate Consultant ",366097
"Senior Analyst, Pricing Advocate ",60497
"Technical Data Analyst",61000
"Local History Librarian",78497
"Procurement Agent",89000
"Member Financial Transaction Services ",51000
"Patient Care Technician",80057
"Library Paraprofessional",55037
"Sales and Marketing Manager",106997
"Senior Deputy Attorney General",112747
"User Services Coordinator/Liaison Librarian",85497
"Environmental Health Specialist IV",93216
"Library Department Head",248494
"Vice President of Development and Marketing",113497
"Consulting Engineer",382991
"Engineering Program Manager",134500
"Growth Marketing Manager",268991
"Lead Game Designer",79500
"Grants Accountant",137994
"Senior IT Software Developer",122000
"Senior Tax Manager",127000
"Sr. QA Analyst",104497
"Insurance/HR Coordinator",55138
"Statehouse Reporter",58497
"Customer Service Specialist",202524
"Junior Product Owner",76497
"ESales Representative",53000
"Teacher of the Deaf and Hard of Hearing",63497
"Government Regulatory Communications ",67400
"Call Center Supervisor",53627
"Executive Director, Application Support and Development",123497
"NOC Technician Tier 1",46680
"Sr. Electrical Engineer",112997
"Communications division manager",118497
"Director of Volunteer Development ",50497
"Principal Software Engineer ",294497
"Business operations analyst",200275
"Payroll and Billings Clerk",75000
"AP Admin ",51497
"Behavior Analyst ",149497
"Tax Consultant",126150
"Corporate and Foundation Relations Manager",181201
"Orientation Coordinator",57497
"Credit Specialist",96997
"Senior Admissions Advisor",61713
"Sports Reporter",55497
"Insurance Coordinator",55000
"Product Marketing Team Lead",67000
"International Accountant",60997
"Senior Manager, Network",102000
"Assistant Professor (Biology)",110000
"Senior Manager, Global Compensation",109000
"Systems Support Engineer III",74000
"Customer Service Advocate",71047
"AP and Payroll Coordinator",54847
"Executive Assistant to Elected Officials",61497
"Teaching practicum supervisor",14497
Teacher/Consultant,103497
"Data Specialist",241305
"Director of Manufacturing",103000
"Extension Educator",69902
"Physician Assistant",947991
"Loan Operations Specialist ",37275
"Sustainability Information Curator/Strategic Communications Coordinator",76816
"GIS Team Manager",78657
"Librarian / senior library specialist",64297
"Support Specialist",251064
"Copy Editor",747775
"Compliance Analyst ",60500
"Field Services Regional Supervisor",97200
"Assistant Branch Manager ",51750
"Senior Corporate Communications Specialist",82852
"Information Systems Manager",151632
"Staff Scientist III",354000
"Senior Aviation Content Adminstrator",85200
"Content Manager/Copy Editor",86297
"HR Compliance Manager",130097
"RN ",70000
"Admin / Student Services ",42000
"Departmental Business Manager",57497
"Engineering Leadership",118000
"Lead Procurement Specialist",58547
"Monitoring, Evaluation, and Learning Manager ",73497
"Research Program Manager",297535
"Patient Access Associate III",41000
"Social/Clinical Research Coordinator",57497
"Executive Administrator",627998
"Vice President of Human Resources",168000
"Web Production Manager",80300
"University Library Technician ",61702
"Director, Financial Aid",83497
"Technical Support and Training",73497
"Business manager",854182
"Commercial Assistant",58497
"Events Manager",342488
"High School English Teacher",413368
"Chiropractic Assistant",42617
"Preschool Teacher ",34000
"Sales Representative",605494
"Project Cost Analyst",117497
"School Psychologist",891742
"Master Teacher",69497
"Student Success Center Speciaist-Advisor",45497
"Environmental Protection Specialist",316994
"Hydrologic Technician",94748
"Public affairs specialist ",59497
"Records Administrator",80497
"Marketing lead",340497
"Practice Manager ",85000
"Project Director",311140
"Procurement Associate",47031
"Clerical officer",129091
"Leased Housing ",40497
"Associate Distribution Designer",62997
"Associate Director of Media",102000
"Controls Engineer",579994
"Assurance Associate",68497
"Data Management Consultant",136700
"Content Writer/Copywriter",41000
"District Manager",315997
"E-Commerce Merchandising Specialist",106497
"Enablement manager",205497
"Informatics Epidemiologist",112997
"Junior Software Developer ",88550
"Macro Strategist",150000
"Market Client Relationship Manager",132000
"Officer, Analyst II- System/Data Security",64249
"Leadership Development Consultant",95000
"Partnership Marketing Manager",87997
Programmer,1103897
"Phlebotomy Supervisor",71497
"Risk Officer",167997
"Reimbursement Specialist",127529
"Supply Chain Buyer/Planner",66000
"University Archivist",88497
"Vice President of Digital Experience",166000
"Senior Librarian",518485
"Sr. Administrative Assistant",211767
"Content Strategist",982979
"Director Rehabilitation ",107997
"Editorial aide",40500
"Customer Service Representative and Implementation Manager",36760
"Elementary School Principal",72000
"Inventory Control Manager",68500
"Sr. Manager eCommerce",165000
"Senior Technical Claims Specialist ",106450
"Medical Technologist ",145497
"Valuations Expert",230000
"Web Developmer",53497
"Assistant District Attorney ",76997
"Compliance manager",1647502
"Community Outreach Director",100000
"Leadership Development Consultant ",109000
"Senior Tax Accountant ",321987
"Document Review Attorney ",113997
"Sr. Conference Planner",73297
"Talent Consultant ",61314
"Critical Care Registered Nurse",171497
"UX Director ",168000
"Accounts Payable Manager",637297
"Accounting Paraprofessional",65497
"Associate Director, Office of Engagement",81497
"Communications and Event Coordinator",66497
"Director of Marketing and Events",70000
"Doctoral Candidate",40497
Baker,201307
"HR Consultant",381497
"IRB Compliance Manager",66497
"Technician ",293991
"Music Teacher (PreK-8)",48612
"Associate Lawyer",839894
"Sales and Marketing Assistant",55097
"Senior Frontend Engineer",405197
"Landscape Architect ",58000
"Admissions Coordinator ",106126
"Communications Consultant ",91497
"Office and facilities manager",74497
"Physical Therapy",109925
"Senior Production Technician",52500
"Business Operations Coordinator ",59445
"Direct Support worker",63497
"QC Chemistry Manager",134550
"Transaction Manager",62500
"Newborn Care Specialist/ Postpartum Doula",103497
"Client Service Coordinator",81614
"Curriculum Developer",66000
"Infrastructure Engineering Senior Advisor",118000
"Associate Team Lead - Revenue Cycle",4452
"Material Planner",139497
"Office Supervisor",193372
Photojournalist,48497
"Director, Studio",67600
"Wordpress Developer",112994
"Electrical Systems Engineer",86388
"Platform engineer",484994
"English Teacher ",177991
"Consultant - Applied Intelligence",101000
Dispatcher,356191
"Hospital Credentialing ",53200
"School Programs Manager",50189
"Information Reporting Analyst",85497
"Product Owner, IT",97500
"Physics Technologist",107497
"Email Marketing Specialist",378742
"Building Automation Technician",58427
"Healthcare Representative",55097
"Director of Engagement",78497
"High School Librarian",161940
"Clinical Analyst",191997
"IT Analyst",642785
Teacher/Mentor,45300
"Pharmacy Director",195650
"Business Librarian",127554
"Associate Research Scientist",393094
"Sr. Quality Lab Technician",60002
"MRI Technologist",229897
"Assistant nature-based preschool teacher ",33448
"Constituency Assistant for an MLA",67497
"Vice President of Client Services",120000
"Field Ecologist",57357
"Advanced Product Development Engineer",81497
"School Psychology",103497
"Survey tech",52000
"IRB Administrator ",77497
"Veterinary technician ",53497
Owner,1078582
"Administrative Secretary",65497
"Helpdesk Associate Analyst",49497
"Administration Manager",156491
"Learning Engineer",197994
"Explosive Safety Officer",98497
"Backend Engineer",263497
"Desk Clerk ",33997
"Patron Services Associate",35497
"Client Specialist",117957
"Investment Banker",330000
"Assistant VP planning",100497
"Academic Programs Director",93497
"Account Coordinator",42000
"Office staff position",46000
"Data Analyst Intern ",73497
"Affiliate Recruiter",50050
"Dental Lab Technician",60500
"Account Supervisor ",103497
"Admin/Customer Service",49497
"Air Export Supervisor",66500
"Annual Fund and Database Manager",65997
"Apparel Technical Designer",298100
"Assistance digital editor and producer",51497
"Assistant Director of Education ",68497
"Assistant Director of Major Gifts",88497
"Assistant Director, Annual Giving",75997
"Sr. Project Manager supervisor",131000
"Assistant Program Director",159997
"Assistant Vice President",703500
"Associate Client Manager",77000
"Associate Copy Editor",49497
"Associate Director of Development",503485
"Associate Director of Resource Development",85997
"Associate Director Paid Search",118497
"Associate Director, Project Operations",88497
"Design Strategist",88000
"Associate Library Director",85497
"Associate Strategic Planner",73497
"Associate Vice Chancellor",143497
"Operations Specialist ",88497
"Revenue Cycle Analyst",65817
"AVP of Software Development",150000
"Behavioral Health Consultant",71497
"Bicycle mechanic/Ski technician ",51041
"Bilingual Child and Adolescent Therapist",45497
"Bilingual Programs Coordinator",51977
"Bookkeeper/Office Administrator",52500
"Building Code Consultant",83000
"Data Analyst",11787340
"Business Coordinator",69497
" Nurse Practitioner",110297
"Campus Recruiting Coordinator",64000
"Chapters and Conferences Liaison",57000
"Ceramics Teaching Assistant",48857
"Chief Content Officer",73497
"Chief Financial Officer",341500
"Chief Of Staff ",484297
"Claim Attorney",145000
"Client Relations Assistant",38000
"Client Relationship Manager",71000
"Client Success Manager",172497
"Clinical Assistant Professor",219994
"Cloud Developer/Analyst - Associate",83497
"Director, Medical Group Administration ",147497
"Commercial Finance Analyst",73502
"Global E-commerce Senior Manager ",170000
"Control and Risk Management Manager ",127500
"CPG Marketing Analyst",78000
"CRM Administrator",92147
"Curriculum Designer/Content Specialist",86997
"Customer Support Supervisor ",84997
"Director of Nursing",170494
"Corporate Actions Analyst",83497
"Data Analytics Developer",170000
"Customer Relations Representative ",37240
"Data and Quality Assurance Manager",60997
"Assistant Curator and Outreach Coordinator",43497
"Data Management Team Lead",82500
"Designer of specialty ceiling products",61500
"Desktop Engineer",98000
"Development and Communications Manager",369485
"Digital Content Manager",364394
"Digital Content Specialist",132494
"Digital Managing Editor ",96497
"Deal Desk Analyst",80000
"Management Consultant - Manager",167497
"Director Internal Comms and Change Management",151000
"Director of Admissions",350485
"Director of Alumni Relations",299991
"Director of arts ",59000
"Director of Construction",156000
"Director of customer experience",451494
"Director of Data Science",305997
"Director of Donor Relations and Communications ",127500
"Director of Events",523988
"Athletic Trainer",47997
"Director of People Operations",320491
"Director of Purchasing",110000
"Director of Research and Prototyping",112000
"Director of Strategic Partnerships",83497
"Director, Customer Success",294000
"Director of Content",354200
"Director, Mobile Engagement",156000
"Director, Operations and Research",80997
"Director of Development and Communications",186994
"Director, Product Marketing",185000
"Director, Social Media",158497
"Director, Strategy",195000
"Diversity and Inclusion Manager",150000
"Docket Specialist",91497
Driver/Dockman,90000
"Editor in chief",337491
"Editorial Analyst",63497
"Education Program Manager",281251
"Events Marketing Specialist",76500
"Donor Relations Specialist",64497
"Executive Liability Broker",177000
"Finance and Accounting Manager",195790
"Finance Senior Manager",323000
"Firmware Engineer",106000
"First Officer",65000
FP&A,366285
"Freelance Consutant",26997
"Generalist ",71997
"Government Loan Insurance Specialist",66497
"Graduate Student and TA",36250
"Graduate Student TA",35497
"Graphic Arts Specialist",45497
"Group Creative Director",128497
"Head of Talent Acquisition",256994
"HR and Compensation Analyst",93497
"HR - Employment Coordinator",48497
"Information Account Consultant",81500
"Inside Sales Manager",88000
"Integrated Marketing Campaign Manager",135000
"Forensic Architect",160000
"International Services Coordinator ",72497
"Internet Marketing Manager",106700
"Inventory and Asset Control Specialist",53697
"Freelance Art Director",13567
"Investment product manager",120000
"Engineering Information Technologist",73497
"IT Director ",136497
"Environmental Technologist",86497
"Global Compliance Manager",114500
"Job board manager",54900
"Jr Frontend Engineer",71497
"Key Account Manager",361397
"Kindergarten Teacher",232491
"Knowledge Manager ",86000
"Lead Business analyst",263897
"Lead business controls specialist",107497
"Lead Data Scientist",494994
"Lead Designer",225491
"Learning and Development Specialist ",88000
"Learning Management System Specialist ",138497
"Library Assistant III",209812
"Litigation Project Manager",152000
"M&A Manager ",336000
"Managed Services Engineer",68500
"Manager of Governance and Assistant to the President",67497
"Manager of Institutional Giving and Grants",64300
"Interim Executive Director",133497
"Manager, College Success Program",72497
"Manager, Digital Advertising Operations",109725
"Manager, Government Affairs",103497
"Manager, Learning and Media",103497
"Manager, Strategic Supplier Syndication",153000
"Marketing and Communications Associate",242491
"Marketing Automation Coordinator",76497
"Marketing Automation Manager",100000
"Marketing Communications Specialist ",83497
"Service Manager",479494
"Junior Underwriter ",139700
"K9 handler",63497
"Mechanical Project Engineer ",116600
"Media Director",510797
"Medical Social Worker",396531
"Unit Secretary ",33497
Modeler,95000
"Music director and organist",72497
"Netsuite Administrator and Developer",118497
"Dialysis float RN",85400
"Lead Medical Technologist",77497
"Editor ",601482
"Operations Lead",355041
"Strategy Consultant",128000
"Operations Manager, Marketing and Communications",63497
"Operations Strategy Analyst",58240
"RN - Nurse Supervisor",99497
"Events Coordinator ",63497
"Partner Marketing Manager",182000
"Strategy Analyst",165497
"Supply chain manager",551351
"Philanthropic Advisor",234997
"Photo Lab Manager",52788
"Pricing Administration Manager",95700
"Procurement Analyst",162655
"Product Consultant",105000
"Manufacturing Chemist",64000
"Group Therapist ",54497
"Product Design Manager",489600
"Product Management Director",385000
"Physician Recruiter ",93497
"Acquisition Editor",149497
"Assistant Analyst",65497
"CHRO ",93497
"Middle School Librarian",93940
"Program Event Coordinator",79497
"Digital Marketing Analyst",100497
"Environmental Planner",506991
"Project Director ",187497
"Medical Office Coordinator",64457
"Quality Improvement Associate",56497
"Rapid Rehousing Program Associate ",53497
"Regional operations manager",80997
"Process Engineer II",98000
"Registration Analyst",62350
"Clinical Registered Dietician ",66497
"RF System Engineer",113497
"Risk Management Analyst",82597
"Safety, Health, and Environmental Manager",270000
"Sales and Marketing Coordinator",68497
"Genetic Counselor",414991
"Process Tech",40560
"General Manager / Quality Manager ",82508
"Senior Accounting Director",140000
"Senior Art Consultant",90997
"Senior Associate Director of Foundation Relations",91600
"Senior associate member resources",61497
"Staff RN",480494
"Outpatient Coder",58799
"Senior Content Specialist",81497
"Senior Content Writer",82497
"Hospice RN",100857
"Senior Data Scientist ",153000
"Senior Director of Digital Strategy",122500
"Senior Director of Operations ",80497
"Senior Electrical Engineer",454294
"Senior Front End Developer",291994
"Senior Manager of Development",78497
"Senior Manager of Strategy",135750
"Senior Manager, Impact",137500
"Senior Manager, Programmatic",105000
"Senior Marketing Content Producer",73500
"Senior Network Engineer",199000
"Senior Operational Auditor",85500
"Senior Operations Engineer",164000
"Senior Product Owner",384997
"Research and Development Manager",199431
"Senior Project Controls Accountant",74470
"Senior Public Relations and Public Affairs Specialist and Account Manager",74497
"Senior Publicist",125000
"Senior Relationship Manager ",191000
"Senior Settlements Analyst",120000
"Senior Site Analyst",100000
"Senior Tax Analyst",217173
"Senior Tax Servicing Specialist",65300
"Senior Vice President of Engagement",153497
"Senior Video Editor/Animator",86497
"Director of Evay",130000
"SEO Supervisor",98497
"Service facilitator",50497
"Settlement Coordinator (Accounting)",72497
"Security Analyst ",101000
"Social and Digital Media Manager ",88497
"Social Media Customer Service",57497
"Social Media Specialist",385991
"Social Media/PPC",65497
"Social Worker / Child Development Specialist",75497
"Computer System Administrator",158497
"Sourcing Manager",192975
"Sr. Content Editor",76497
"Solutions Architect ",129000
"Sr. Credit Analyst",141178
"Sr. Manager, Technology",178000
"Sr. Training Consultant",85000
"Staff Therapist",127294
"Product Specialist",400903
"International Board Certified Lactation Consultant ",25497
"STEM Specialist",75497
"Strategic Writer",74800
"Student Outreach Specialist",57497
"Student Support Specialist (Academic Advisor)",58197
"Senior Director, Sales",168000
"Grants Management Specialist",189874
"Charge Nurse",242897
"Senior Insights Manager",112000
"Talent Acquisition Operations leader",168000
"Talent Development Manager",414497
"Product Specialist ",55497
"Technical Documentation Manager",137497
"Technical SEO Manager",116497
"Technology Lead",141497
"Technology Librarian",60594
"Technology Manager",496697
"Training and Capacity Manager",72997
"Provider Relations Coordinator ",52900
"Travel Agent",72000
"User experience researcher",724777
"Value Based Program Lead",141000
"Vendor manager ",115714
"Vice President and Relationship Manager",220000
"Vice President Advisor Escalations",115000
"Visiting Lecturer",134994
"Staff Scientist",236647
"VP Treasury",257000
"Communications and Training Specialist",68500
"Senior Research Manager",83000
"Wine Director",88497
"Change Management Director",200000
"Behavioral Health Case Manager",95000
"Marketing Communications consultant",78000
"Senior Fullstack Engineer",179000
"Senior System Administrator ",113497
"Health Administrator",13607
"Community Health Worker",105238
"Law Clerk/Staff Attorney",85497
"Office Associate",144491
"Professional Development Specialist",197594
"Special Project Coordinator",88497
"Supervisory Physical Scientist",147000
"Assistant Manager",1363590
"HR Analyst",636568
"IT Professional",80497
Biologist,735901
"HR Sr. Manager",150000
"Sr. Customer Success Analyst",93497
"Staff Psychotherapist ",65497
"Director of Faith Formation ",55200
"Research Scientist and Lab Manager",61497
"Program Manager and Staff Attorney",47576
"Manager, IT Hospital billing ",155000
"Reference and Instruction Librarian",58497
"Managing Director Data Science and Analytics ",128497
"Director of Financial Planner ",95000
"Senior Analyst Investment Performance and Risk",120000
"Prospect Researcher",200704
"Outreach Associate",77497
"Senior Investor Relations Analyst ",120000
"Sr. Manager",880497
"Senior Mechanical Engineer",1203387
"Predoctoral Intern",45497
"Sr. Portfolio Analyst",141000
"Senior Web Developer",519991
"SEO Specialist",326994
"Level 1 Support",53497
"Software QA Analyst",172100
"Knowledge Manager",338000
"Litigation Paralegal",382200
"Manager, Educational Administration ",90497
"Technical Coordinator Trade Processing ",63800
"Assistant Controller",811551
"Strategic Projects Manager",131694
"Senior Paralegal",684297
"Member Relations Manager ",65497
"Provider Engagement Executive ",106206
"HR Representative",210146
"Senior Research Coordinator",137494
"Senior Research Assistant",240611
"Senior Research Program Manager",253497
"Assistant National Director ",83497
"Assistant to the President",53000
"Associate Marketing Manager ",238597
"Regional Business Manager",86497
"Bank Examiner",335697
"Benefits Coordinator ",67000
"Claims adjuster ",166147
"Occupational Therapist ",191771
"Event Department Manager",88497
"Executive Production Asisstant ",61000
"Exhibit Manager",93497
"Field and Project Manager",68497
"FMLA Account Representative ",45250
"Junior Graphic Designer ",51497
"Research Staff",97497
"Loan Processor",217000
"Paralegal and Assistant to General Counsel",108000
"Labour Relations Officer",86817
"Production Coordinator ",133617
"Professor of [Humanities Discipline]",74800
Rabbi,163497
"Unit Secretary",53497
"EDI Analyst",52500
"Sales Assistant ",68497
"Senior Developer ",185000
"Staff product designer",360497
"Strategic Analyst",132497
"Technology Specialist",119497
"Theatre Technical Director ",50000
"VP of Institutional Advancement ",107497
"Content Writer",661165
"Health Insurance ",105497
"Clinical Therapist",133497
"Library Associate",436823
"Associate Director of Advancement",88497
"Associate Consultant",1008482
"Director of Sales Strategy",170000
"Loan Origination",78497
"IT Finance Manager",128497
"Production Coordinator III",109500
"Reporting Administrator",45300
Owner/Operator,333497
"Medical Coder",209994
"Assistant Department Head",73497
"Head of Collection Services",85497
"Director of Grants",198394
"Events and Outreach Manager",71497
"Nuclear Security Programs Lead",86500
"City Planner",266491
"Financial Aid Specialist ",38997
"Grants Analyst",65497
"Specialty Underwriting Technician ",50925
"Medical Coding Team Lead",96497
"Supervisor, Communications and Reporting",131660
"Trafficking Victim Case Manager",37497
"Manager, Access Services",66497
"Adjunct Instructor",438273
"Medical Technologist II",165697
"Mechanical Engineer in Training",59000
"Equal Employment Specialist",141716
"Reports Analysis ",55997
"Project Manager II",433736
"Senior Records Clerk",57397
"Clinical Social Worker",276388
"Marine Biologist",56497
"Software Developer / Customer Integrations",118497
"Vehicle Dynamics Engineer",120000
"Systems Analyst ",73497
"Senior ITIL Process Expert",165497
"Financial Administrator",346803
"Intermediate Underwriter",50500
"Teacher (Elementary School)",67497
"Preschool Teacher",346213
"Advisory Analyst",59500
"Curatorial Asisstant",50096
"7th grade teacher",61497
"Account Analyst",84297
"Education consultant",73497
"Advanced Program Manager",133497
"Application Specialist II",86089
"AR Administrative Assistant",43638
"Planning Analyst",105000
"Content Development Manager ",84618
"Linux DevOps Engineer",38997
"Contracts/Billing Analyst",49320
"Creative Manager",313382
"Customer Service Associate",187841
"Customer Service Director ",175000
"Shift Coordinator/Registered Nurse",71817
"Staff Pharmacist Manager",153000
"Director of Public Safety",82497
"Enterprise Resource Planning Analyst I",70997
"Executive Assistant and Employee Engagement Specialist",61500
"Clinical Research Coordinator ",65997
"Freelance fashion designer",75897
"Intervention Specialist",143994
"IT Developer",118000
"Database Administrator ",386991
"It manager ",196994
"IT Technician",204091
"Kinship and Adoption Navigator",48857
"Lead Aero-Thermal Engineer",95350
"Learning and Development Manager",592218
"Lifecycle Marketing Specialist",170994
"Manager (market research - online communities))",79497
LPN,384897
"Project Specialist",166997
"Protection and Controls Engineer",94997
"Public Defender ",165994
"Records Management Specialist",161914
"Safety Manager",97497
"Electronic Health Records Education/Implementation Specialistist",66526
"Securities Attorney",148000
"Clinical Trial Manager",274783
"Senior Digital Product Designer",108000
"Medical Affairs Manager",188145
"Senior Engineering Technician",83497
"Senior Field Marketing Manager",83497
"Regional Administrative Secretary",65497
"Sr. Technical Specialist",72800
"Statistical Analyst II",94597
"Tax principal",144000
"Visual Design Manager",79377
"Research Librarian ",73497
"Events Coordinator",149494
"Intervention Specialist ",80497
"Project engineer ",466772
"Senior Asset Manager ",128000
"Senior research associate ",320793
"Senor HR Manager",93497
"Sr. Account Relationship Manager",115000
"Community Center Director ",55497
"Investment Analyst",195000
"Job Title",200000
"Revenue Accountant",178694
"QA Coordinator",36800
"Associate Director of Admission",159994
"Utility Director ",76000
"Office Coordinator ",49997
"Financial Aid Counselor",266049
"Assistant Librarian/Professor",76497
"Sr. Manager, OD and Change Management",118000
"Employee Relations Specialist",120497
Administrative,324156
"Assembly Worker",43476
"Resident physician ",65294
"Assistant Director, Student Advancement",63297
"Assistant US Attorney",133497
"Technical Proposal Specialist",81500
"Associate Director of Adolescent Initiatives",91497
"Associate Medical Director",135000
"Cataloging Librarian",154494
"Direct Care Worker",39997
"Collection Manager",264687
"Commodity Manager",104000
"Community Outreach Coordinator",57697
"Sr. Video Editor",73497
"Content Developer",177488
"Coordinator of Instructional Technology",31500
"Clinical Lab Technical Supervisor",95497
"Customer care Representative ",67000
"Design Lead",446488
"Development Manager ",441497
"Digital Scholarship Librarian",68497
"Finance Officer",106061
"Director of Compliance",179000
"Director of Revenue Management",230497
"Director, Application Development",100942
"Director, Fundraising ",87497
"Domain Architect",205000
"Head Swimming and Diving Coach (NCAA Division II)",49497
"Professional liability claims manager",138497
"HR Coordinator and Recruiter",57000
"In-House Counsel",527000
