Overall_Experience,Job_Title,Total_compensation
"11 - 20 years","Purchasing Expeditor ",52497
"11 - 20 years","Purchasing Manager ",108497
"11 - 20 years","Purchasing Specialist",50937
"11 - 20 years","Pursuits Specialist",113497
"11 - 20 years",QA,120000
"11 - 20 years","QA Analyst",287819
"11 - 20 years","Qa and tech support ",49497
"11 - 20 years","QA Coordinator",36800
"11 - 20 years","QA Engineer",87000
"11 - 20 years","QA Engineering Lead",225000
"11 - 20 years","QA Lead",95497
"11 - 20 years","QA Manager",478991
"11 - 20 years","QA Specialist",98497
"11 - 20 years","QC Associate",33500
"11 - 20 years","QC Chemist",79200
"11 - 20 years","QC Chemistry Manager",134550
"11 - 20 years","QMS Manager",136497
"11 - 20 years","Qualitative Research Analyst",72660
"11 - 20 years","Quality And Compliance Specialist",24500
"11 - 20 years","Quality and Lab Supervisor",65997
"11 - 20 years","Quality and Manufacturing Engineering Manager",113097
"11 - 20 years","Quality and training manager",57497
"11 - 20 years","Quality Assurance",155497
"11 - 20 years","Quality Assurance Analyst",128100
"11 - 20 years","Quality Assurance Analyst ",78497
"11 - 20 years","Quality Assurance Assistant",35497
"11 - 20 years","Quality Assurance Director",106497
"11 - 20 years","Quality Assurance Engineer",231205
"11 - 20 years","Quality Assurance Laboratory Manager",93000
"11 - 20 years","Quality assurance lead",156600
"11 - 20 years","Quality Assurance Manager",396000
"11 - 20 years","Quality Assurance Specialist II",107997
"11 - 20 years","Quality Control ",85000
"11 - 20 years","Quality Control Analyst IV",89500
"11 - 20 years","Quality Control Supervisor",61000
"11 - 20 years","Quality Data Analyst",105600
"11 - 20 years","Quality Engineer",668497
"11 - 20 years","Quality Engineering Technician",58000
"11 - 20 years","Quality Management Consultant ",65000
"11 - 20 years","Quality Manager ",117000
"11 - 20 years","Quality Rating Specialist",75897
"11 - 20 years","Quality Services Specialist",56500
"11 - 20 years","Quality Specialist",78497
"11 - 20 years","Quality System Specialist",149500
"11 - 20 years","Quality Systems Auditor",94500
"11 - 20 years","Quality Systems Coordinator",63000
"11 - 20 years","Quantity surveyor",83497
"11 - 20 years","R&D Engineer",59747
"11 - 20 years","R&D Manager",133497
"11 - 20 years","R&D Scientist",77475
"11 - 20 years","R&D Scientist ",88497
"11 - 20 years","R&D Software Engineer",128697
"11 - 20 years","Radiation Therapist",179994
"11 - 20 years","Radio broadcaster",42000
"11 - 20 years","Radio Producer",37497
"11 - 20 years","Radiologic Technologists ",48497
"11 - 20 years","Rating and Underwriting Consultant",95000
"11 - 20 years","Reader Services Librarian",44374
"11 - 20 years","Real Estate Manager",98000
"11 - 20 years","Real Estate Project Manager",153000
"11 - 20 years","Rebate Coordinator ",43000
"11 - 20 years","Reception / Admin",42300
"11 - 20 years",Receptionist,165356
"11 - 20 years","Receptionist ",55658
"11 - 20 years","Receptionist / assistant",38397
"11 - 20 years","Reconditioning Asscoiate",44200
"11 - 20 years","Reconditioning Associate",44200
"11 - 20 years","Records Administrator",80497
"11 - 20 years","Records Management Analyst",175994
"11 - 20 years","Records management coordinator ",72497
"11 - 20 years","Records Management Team Supervisor",127600
"11 - 20 years","Records Manager",170000
"11 - 20 years","Records Specialist",43497
"11 - 20 years","Recovery specialist ",57500
"11 - 20 years","Recreation Program Specialist",58497
"11 - 20 years",Recruiter,465191
"11 - 20 years","Recruiting Coordinator",55497
"11 - 20 years","Recruiting Enablement",80000
"11 - 20 years","Recruiting Manager",362000
"11 - 20 years","Recruiting Manager ",140000
"11 - 20 years","Recruitment Specialist",83497
"11 - 20 years","Recruitment Supervisor",112000
"11 - 20 years","Reference Librarian",229671
"11 - 20 years","Reference Services",47997
"11 - 20 years","Reference/Instruction Librarian",50525
"11 - 20 years","Refinance Escrow Closer",72008
"11 - 20 years","Regional Account Sales Coordinator",90000
"11 - 20 years","Regional Administrative Secretary",65497
"11 - 20 years","Regional administrator ",45200
"11 - 20 years","Regional Associate",78497
"11 - 20 years","Regional Controller",132000
"11 - 20 years","Regional Crown",170497
"11 - 20 years","Regional Director",201000
"11 - 20 years","Regional Director of Revenue Management",81742
"11 - 20 years","Regional Finance Director",191000
"11 - 20 years","Regional Manager",240444
"11 - 20 years","Regional Manager ",198000
"11 - 20 years","Regional Planning Manager",137000
"11 - 20 years","Regional program director ",83497
"11 - 20 years","Regional Quality Manager",83000
"11 - 20 years","Regional Quality Supervisor ",94497
"11 - 20 years","Regional Sales Manager",250880
"11 - 20 years","Registered Architect and Project Manager",74000
"11 - 20 years","Registered Behavioral Technician",67577
"11 - 20 years","Registered Dietitian",78497
"11 - 20 years","Registered Dietitian ",78000
"11 - 20 years","Registered Dietitian Nutritionist",123497
"11 - 20 years","Registered Engineer",103000
"11 - 20 years","Registered Nurse",1913997
"11 - 20 years","Registered Nurse/Clinical Research Coordinator",56000
"11 - 20 years","Registered vet tech",41500
"11 - 20 years",Registrer,679756
"11 - 20 years","Regulatory Affairs",170000
"11 - 20 years","Regulatory Affairs Manager ",148000
"11 - 20 years","Regulatory Affairs Specialist",212847
"11 - 20 years","Regulatory Affairs Specialist, senior",112997
"11 - 20 years","Regulatory Affairs Supervisor",80980
"11 - 20 years","Regulatory Coordinator",48129
"11 - 20 years","Regulatory manager",168000
"11 - 20 years","Regulatory Manager ",102497
"11 - 20 years","Regulatory Response Consultant",87802
"11 - 20 years","Regulatory Review Biologist",102146
"11 - 20 years","Regulatory Specialist",75497
"11 - 20 years","Reimbursement Specialist",61961
"11 - 20 years","Relationship Manager",212247
"11 - 20 years","Release Manager",59000
"11 - 20 years","Reliability Engineer",126000
"11 - 20 years","Remote Office Assistant",44697
"11 - 20 years","Renewable Energy Program Manager",109497
"11 - 20 years","Renewals Manager",150000
"11 - 20 years","Rental Sales Associate",48264
"11 - 20 years",Reporter,299994
"11 - 20 years","Reporting Analyst ",59257
"11 - 20 years","Reporting and Data Analyst",101497
"11 - 20 years","Reports Analysis ",55997
"11 - 20 years","Repository Manager",61497
"11 - 20 years",Representative,107497
"11 - 20 years","Representative, HR/LR",70705
"11 - 20 years",Research,138497
"11 - 20 years","Research Administrator",403485
"11 - 20 years","Research Analyst",431097
"11 - 20 years","Research Analyst ",92497
"11 - 20 years","Research and Data Analyst",65500
"11 - 20 years","Research and Instruction Librarian",71267
"11 - 20 years","Research and Operations Director",122497
"11 - 20 years","Research and Teaching Librarian",89497
"11 - 20 years","Research Assistant",276385
"11 - 20 years","Research Assistant Professor",88497
"11 - 20 years","Research Associate",350497
"11 - 20 years","Research Associate ",280988
"11 - 20 years","Research Associate II",64497
"11 - 20 years","Research Associate III",121497
"11 - 20 years","Research Business Specialist",65500
"11 - 20 years","Research Coordinator",385188
"11 - 20 years","Research Data Specialist",85497
"11 - 20 years","Research Development Manager",64531
"11 - 20 years","Research Director",165000
"11 - 20 years","Research Director ",163497
"11 - 20 years","Research Fellow",65500
"11 - 20 years","Research IT specialist ",71497
"11 - 20 years","Research Lab Manager",76497
"11 - 20 years","Research Leader",69089
"11 - 20 years","Research Librarian",436485
"11 - 20 years","Research Manager",353088
"11 - 20 years","Research manager ",108000
"11 - 20 years","Research Methodology Consultant",138216
"11 - 20 years","Research Officer",88497
"11 - 20 years","Research Program Manager",109497
"11 - 20 years","Research Project Manager",151497
"11 - 20 years","Research Project Manager II",120497
"11 - 20 years","Research Science/Research",148497
"11 - 20 years","Research Scientist",503994
"11 - 20 years","Research Scientist ",80497
"11 - 20 years","Research Scientist I",162000
"11 - 20 years","Research Scientist III",181494
"11 - 20 years","Research Specialist",95000
"11 - 20 years","Research Specialist Senior",63497
"11 - 20 years","Research Strategy and Portfolio Manager",118800
"11 - 20 years","Research Technician",64497
"11 - 20 years","Research Technologist",55497
"11 - 20 years",Researcher,450291
"11 - 20 years","Researcher and Writer",43200
"11 - 20 years","Reservations Coordinator",37212
"11 - 20 years","Resident District Manager",159000
"11 - 20 years","Residential Coordinator ",60000
"11 - 20 years","Resource Manager",214697
"11 - 20 years","Resource Planning Analyst",50997
"11 - 20 years","Responsible for an external-facing unit",175000
"11 - 20 years","Restaurant General manager",66000
"11 - 20 years","Restaurant Manager",172997
"11 - 20 years","Restaurant Shift Lead",33400
"11 - 20 years","Restoration Project Coordinator ",73497
"11 - 20 years","Resume Writer",58497
"11 - 20 years","Retail Associate",34497
"11 - 20 years","Retail Change Portfolio Manager",55497
"11 - 20 years","Retail Crew",31600
"11 - 20 years","Retail Sales Manager ",46000
"11 - 20 years","Revenue Accountant",69497
"11 - 20 years","Revenue Accounting Manager",145497
"11 - 20 years","Revenue Agent",238658
"11 - 20 years","Revenue Agent 1",48497
"11 - 20 years","Revenue Cycle Director",170000
"11 - 20 years","Revenue Cycle Manager",113497
"11 - 20 years","Revenue Cycle Sr. Associate",91700
"11 - 20 years","Risk Analyst",80900
"11 - 20 years","Risk and Assurance Manager",63000
"11 - 20 years","Risk and Compliance Consultant",86600
"11 - 20 years","Risk and regulation consultant",67000
"11 - 20 years","Risk Consultant",144497
"11 - 20 years","Risk Manager",474797
"11 - 20 years","Risk Modeler",172000
"11 - 20 years","Risk Professional",97500
"11 - 20 years",RN,974418
"11 - 20 years","RN coordinator  ",90500
"11 - 20 years","RnD Manager",85617
"11 - 20 years","Robotics and Systems Engineer",155000
"11 - 20 years","RPG Designer",38497
"11 - 20 years","Ruby on Rails Developer",143497
"11 - 20 years","Safety, Health, and Environmental Manager",155000
"11 - 20 years",Sales,143497
"11 - 20 years","Sales ",125000
"11 - 20 years","Sales Administration",47800
"11 - 20 years","Sales Administrator",96045
"11 - 20 years","Sales Analyst",161994
"11 - 20 years","Sales Analytics Manager",73000
"11 - 20 years","Sales and Pricing Senior Manager",86740
"11 - 20 years","Sales Assistant ",68497
"11 - 20 years","Sales Associate",187976
"11 - 20 years","Sales Associate ",39747
"11 - 20 years","Sales Consultant ",206994
"11 - 20 years","Sales Controller",115000
"11 - 20 years","Sales Coordinator",173491
"11 - 20 years","Sales Coordinator ",42347
"11 - 20 years","Sales Director ",145900
"11 - 20 years","Sales Engineer",395000
"11 - 20 years","Sales engineer ",108497
"11 - 20 years","Sales Excellence Manager",179000
"11 - 20 years","Sales executive ",213000
"11 - 20 years","Sales Manager",538394
"11 - 20 years","Sales Manager / Operations Manager / Project Manager",46500
"11 - 20 years","Sales Manager, Key Account Executive",115000
"11 - 20 years","Sales Operations",81000
"11 - 20 years","Sales Operations Analyst",102100
"11 - 20 years","Sales Operations Business Process Manager ",111000
"11 - 20 years","Sales Operations Manager",105000
"11 - 20 years","Sales operations manager ",70000
"11 - 20 years","Sales Process Manager ",105497
"11 - 20 years","Sales Representative",71500
"11 - 20 years","Sales Representative ",180000
"11 - 20 years","Sales Solution Architect",71500
"11 - 20 years","Sales support",101547
"11 - 20 years","Sales Support Manager",73497
"11 - 20 years","Salesforce (CRM) Administrator",97797
"11 - 20 years","Salesforce Administrator",414594
"11 - 20 years","Salesforce administrator/developer",134500
"11 - 20 years","Salesforce Consultant",101000
"11 - 20 years","Salesforce Developer",149497
"11 - 20 years","Salesforce Marketing Cloud Solutions Architect",123497
"11 - 20 years","Salesforce Solution Architect",189000
"11 - 20 years","SAP Consultant",63000
"11 - 20 years","SAP Material Master Specialist",70000
"11 - 20 years","SAP PM analyst",93497
"11 - 20 years","SAT and ACT Tutor",113497
"11 - 20 years","Satellite Office Manager ",42500
"11 - 20 years","Scheduling Officer",56497
"11 - 20 years","Scheduling Specialist",48397
"11 - 20 years","Scheduling Supervisor",48497
"11 - 20 years","Scholarly Communication Librarian",73497
"11 - 20 years","Scholarly Communication Specialist",51597
"11 - 20 years","School Bus Driver Instructor",93497
"11 - 20 years","School Certifying Official",58497
"11 - 20 years","School Counselor",319420
"11 - 20 years","School counselor ",173697
"11 - 20 years","School District Accountant",88497
"11 - 20 years","School Librarian",122994
"11 - 20 years","School Library Technician",55097
"11 - 20 years","School Media Specialist",53497
"11 - 20 years","School Nurse ",79997
"11 - 20 years","School Psychologist",456314
"11 - 20 years","School Psychologist ",140889
"11 - 20 years","School Psychology",103497
"11 - 20 years","School Social Worker",146994
"11 - 20 years","School Support",68300
"11 - 20 years","Science and Technology Policy Analyst",80800
"11 - 20 years","Science Content Specialist II",87497
"11 - 20 years","Science Editor",170000
"11 - 20 years","Science Teacher",58000
"11 - 20 years","Science Writer",109497
"11 - 20 years","Science Writer (Communications)",95000
"11 - 20 years","Scientific Curator",89497
"11 - 20 years","Scientific Director",125497
"11 - 20 years","Scientific Editor",116497
"11 - 20 years","Scientific Manager",144000
"11 - 20 years","Scientific Researcher",115000
"11 - 20 years",Scientist,563502
"11 - 20 years","Scientist II",421529
"11 - 20 years",Scripter,53497
"11 - 20 years","Scrum Master",475497
"11 - 20 years",SDET,292294
"11 - 20 years","Search Engine Optimization Manager",76497
"11 - 20 years","Seasonal Wildlife Biologist",45520
"11 - 20 years","Secondary English Teacher",63497
"11 - 20 years","Secondary school teacher",334762
"11 - 20 years","Secondary Teacher",109497
"11 - 20 years","SECOPS Manager",129497
"11 - 20 years",Secretary,96354
"11 - 20 years","Secretary / Scheduler ",50497
"11 - 20 years","Secretary 1",60297
"11 - 20 years","Secretary to Assistant Principal ",47177
"11 - 20 years","Securities Attorney",148000
"11 - 20 years","Security Analyst",94045
"11 - 20 years","Security Compliance Lead",113497
"11 - 20 years","Security Consultant",138497
"11 - 20 years","Security Engineer",667754
"11 - 20 years","Security Engineer II",96000
"11 - 20 years","Security Manager",166497
"11 - 20 years","Security monitor",53497
"11 - 20 years","Security Officer",150897
"11 - 20 years","Segment Marketing Manager",99000
"11 - 20 years","Self employed Technical Writer",38497
"11 - 20 years","Self employed Writer",65000
"11 - 20 years","SEM Specialist",63497
"11 - 20 years","Seminar Coordinator and Territory Manager",80000
"11 - 20 years","Senior Academic Advisor",74497
"11 - 20 years","Senior Academic Program Coordinator",61497
"11 - 20 years","Senior Account Executive",210500
"11 - 20 years","Senior Account Manager",716500
"11 - 20 years","Senior Account Supervisor",104200
"11 - 20 years","Senior Accountant",975532
"11 - 20 years","Senior Accountant ",115497
"11 - 20 years","Senior accountant CPA ",93000
"11 - 20 years","Senior Accountant/Auditor",57497
"11 - 20 years","Senior accounting analyst",104000
"11 - 20 years","Senior accounting analyst ",104000
"11 - 20 years","Senior Accounting Director",140000
"11 - 20 years","Senior Accounting Manager",162000
"11 - 20 years","Senior Acquisition and Assistance Specialist",127500
"11 - 20 years","Senior Actuarial Development Manager",178629
"11 - 20 years","Senior Actuary",145000
"11 - 20 years","Senior Administrative Assistant",174794
"11 - 20 years","Senior Administrative Assistant ",65865
"11 - 20 years","Senior Administrative Officer",74497
"11 - 20 years","Senior Administrator",68997
"11 - 20 years","Senior Advisor",252994
"11 - 20 years","Senior Advisor, Communications",224416
"11 - 20 years","Senior Analyst",1542913
"11 - 20 years","Senior Analyst Investment Performance and Risk",120000
"11 - 20 years","Senior Analyst Programmer",53819
"11 - 20 years","Senior Analyst, Information Technology",116160
"11 - 20 years","Senior Analyst, Pricing Advocate ",60497
"11 - 20 years","Senior Analytical Officer",52497
"11 - 20 years","Senior Android Developer",160000
"11 - 20 years","Senior Application Analyst",72400
"11 - 20 years","Senior Application Developer",181497
"11 - 20 years","Senior Application Specialist",116497
"11 - 20 years","Senior Applications / Inside Sales",65000
"11 - 20 years","Senior Applications Administrator",80000
"11 - 20 years","Senior Applications Engineer ",62000
"11 - 20 years","Senior Architect",152000
"11 - 20 years","Senior Architect ",75000
"11 - 20 years","Senior Architectural Conservator",77500
"11 - 20 years","Senior Archivist",47497
"11 - 20 years","Senior Art Director",354494
"11 - 20 years","Senior Artist Manager",55497
"11 - 20 years","Senior Asset Manager ",128000
"11 - 20 years","Senior Assistant City Attorney ",155497
"11 - 20 years","Senior Assistant Librarian ",38800
"11 - 20 years","Senior Assistant Manager",53997
"11 - 20 years","Senior Associate",856991
"11 - 20 years","Senior Associate ",385994
"11 - 20 years","Senior Associate Actuary",124000
"11 - 20 years","Senior Associate Brand Manager",88497
"11 - 20 years","Senior Associate Data Scientist",124000
"11 - 20 years","Senior Associate Director",102797
"11 - 20 years","Senior Associate Director of Admission",76497
"11 - 20 years","Senior Associate Director of Foundation Relations",91600
"11 - 20 years","Senior associate geotechnical engineer",78497
"11 - 20 years","Senior Associate Registrar",74497
"11 - 20 years","Senior Associate Scientist ",117000
"11 - 20 years","Senior Associate, registered architect",109497
"11 - 20 years","Senior Association Manager",67000
"11 - 20 years","Senior Attorney",223794
"11 - 20 years","Senior Attorney ",111000
"11 - 20 years","Senior Attorney Editor",77700
"11 - 20 years","Senior Audit Group Manager",143500
"11 - 20 years","Senior Audit Manager ",66000
"11 - 20 years","Senior Auditor",93497
"11 - 20 years","Senior Auditor ",123497
"11 - 20 years","Senior Backend Engineer",138000
"11 - 20 years","Senior BI Analyst",205500
"11 - 20 years","Senior Biologist",93497
"11 - 20 years","Senior Biologist/ Regulatory Specialist",89360
"11 - 20 years","Senior Biostatistician",188000
"11 - 20 years","Senior Bookkeeper",67577
"11 - 20 years","Senior brand writer",126000
"11 - 20 years","Senior Brokerage Operations Coordinator ",56000
"11 - 20 years","Senior Budget and Contracts Manager",128497
"11 - 20 years","Senior Bulk Trailer tech ",67497
"11 - 20 years","Senior Business Analyst",583753
"11 - 20 years","Senior Business Analyst ",303270
"11 - 20 years","Senior Business Development Manager",181250
"11 - 20 years","Senior business systems analyst",331000
"11 - 20 years","Senior Buyer",65497
"11 - 20 years","Senior Campaign Director",118497
"11 - 20 years","Senior Campaign Organizer",91497
"11 - 20 years","Senior Cataloging Librarian",111297
"11 - 20 years","Senior Cataloguing Librarian",100162
"11 - 20 years","Senior Chemist",167358
"11 - 20 years","Senior Civil Engineer",248497
"11 - 20 years","Senior Civil Project Manager",205000
"11 - 20 years","Senior Claims Executive ",94497
"11 - 20 years","Senior Clerk/Typist",58497
"11 - 20 years","Senior Client Accout Administrator",60000
"11 - 20 years","Senior Clinical lead",67500
"11 - 20 years","Senior Clinical Program Manager ",212000
"11 - 20 years","Senior Clinical Research Assoicate",154000
"11 - 20 years","Senior Clinical Research Coordinator",85257
"11 - 20 years","Senior Cloud Applications Administrator",109497
"11 - 20 years","Senior Cognitive behaviour therapist",77497
"11 - 20 years","Senior Commission Analyst",77000
"11 - 20 years","Senior Communication Specialist",88497
"11 - 20 years","Senior Communications Advisor ",115497
"11 - 20 years","Senior Communications Associate",65497
"11 - 20 years","Senior Communications Coordinator",98497
"11 - 20 years","Senior Communications Manager",551451
"11 - 20 years","Senior Communications Officer",175497
"11 - 20 years","Senior Communications Specialist",132000
"11 - 20 years","Senior Communications Specialist ",97497
"11 - 20 years","Senior Community Manager",73838
"11 - 20 years","Senior Compensation Analyst",79997
"11 - 20 years","Senior Compliance Analyst",97000
"11 - 20 years","Senior Compliance Manager",192000
"11 - 20 years","Senior Compliance Professional",80600
"11 - 20 years","Senior Compliance Specialist ",96497
"11 - 20 years","Senior Consultant",1630344
"11 - 20 years","Senior Consultant ",263497
"11 - 20 years","Senior Consumer Insights Manager ",163000
"11 - 20 years","Senior Content Developer",129700
"11 - 20 years","Senior Content Editor",51000
"11 - 20 years","Senior Content Management Consultant ",150000
"11 - 20 years","Senior Content Manager",200494
"11 - 20 years","Senior Content Specialist",81497
"11 - 20 years","Senior Content Strategist",343017
"11 - 20 years","Senior Content Writer",82497
"11 - 20 years","Senior Contract Administrator",110000
"11 - 20 years","Senior Copywriter",385991
"11 - 20 years","Senior Copywriter and Content Manager ",96000
"11 - 20 years","Senior Corporate Counsel",333500
"11 - 20 years","Senior Corporate Counsel ",161000
"11 - 20 years","Senior Corporate Librarian",111000
"11 - 20 years","Senior Court Analyst, Records Management",88497
"11 - 20 years","Senior Creative Project Manager",88020
"11 - 20 years","Senior Customer service manager ",105000
"11 - 20 years","Senior Customer Service Representative",55997
"11 - 20 years","Senior Customer Success Consultant",70000
"11 - 20 years","Senior Customer Success Manager",555439
"11 - 20 years","Senior Data Analyst",450752
"11 - 20 years","Senior Data Analyst ",102000
"11 - 20 years","Senior Data Analytics Developer",175000
"11 - 20 years","Senior Data and Policy Specialist",102497
"11 - 20 years","Senior Data architect",158000
"11 - 20 years","Senior Data Engineer",330350
"11 - 20 years","Senior Data Manager",231994
"11 - 20 years","Senior Data Scientist",624538
"11 - 20 years","Senior Decision Support Analyst",98497
"11 - 20 years","Senior Demand Generation Specialist",94000
"11 - 20 years","Senior Demand Manager",72000
"11 - 20 years","Senior Demand Planner",102300
"11 - 20 years","Senior Deputy Attorney General",112747
"11 - 20 years","Senior Deputy City Attorney",138497
"11 - 20 years","Senior Design Engineer - Control Systems",146897
"11 - 20 years","Senior Design Professional",57497
"11 - 20 years","Senior Designer",141900
"11 - 20 years","Senior Developer",1103485
"11 - 20 years","Senior Developer ",50000
"11 - 20 years","Senior Developer Relations Manager ",123497
"11 - 20 years","Senior Development Officer",170994
"11 - 20 years","Senior Devops Engineer",503791
"11 - 20 years","Senior Digital Forensic Practitioner",41497
"11 - 20 years","Senior digital manager",73497
"11 - 20 years","Senior Digital Marketing Manager",213497
"11 - 20 years","Senior digital project manager",96500
"11 - 20 years","Senior Director",1297479
"11 - 20 years","Senior Director ",308497
"11 - 20 years","Senior Director data management ",200000
"11 - 20 years","Senior Director of Annual Giving and Alumni Engagement",136497
"11 - 20 years","Senior Director of Brand Marketing ",187000
"11 - 20 years","Senior Director of Development",350994
"11 - 20 years","Senior Director of Digital Marketing",155000
"11 - 20 years","Senior Director of Digital Strategy",122500
"11 - 20 years","Senior Director of individual giving",143497
"11 - 20 years","Senior Director of Marketing",160000
"11 - 20 years","Senior Director of Operations",80497
"11 - 20 years","Senior Director of Strategic Planning",130000
"11 - 20 years","Senior Director, ESG and Investor Relations",30185
"11 - 20 years","Senior Director, Product Management",200000
"11 - 20 years","Senior Director, Professional Services",157700
"11 - 20 years","senior director, program monitoring and evaluation",140000
"11 - 20 years","Senior Director, programs ",93497
"11 - 20 years","Senior Director, Sales",168000
"11 - 20 years","Senior Donation Coordinator ",109497
"11 - 20 years","Senior Draughtsperson",83700
"11 - 20 years","Senior Economist",261497
"11 - 20 years","Senior Editor",1567661
"11 - 20 years","Senior Editor ",87497
"11 - 20 years","Senior Editor and Director",85000
"11 - 20 years","Senior Editor II",97000
"11 - 20 years","Senior Editor, Mathematics",91000
"11 - 20 years","Senior Email Marketing Manager",279500
"11 - 20 years","Senior Email Specialist",113000
"11 - 20 years","Senior Embedded Software Engineer",282994
"11 - 20 years","Senior Energy Engineer",102497
"11 - 20 years","Senior Engagement Manager",127000
"11 - 20 years","Senior Engineer",2381583
"11 - 20 years","Senior Engineer ",178497
"11 - 20 years","Senior Engineer Systems Architecture",118000
"11 - 20 years","Senior Engineering Director",180000
"11 - 20 years","Senior Engineering Manager",253750
"11 - 20 years","Senior Engineering Technician",83497
"11 - 20 years","Senior Engineering Technician ",81497
"11 - 20 years","Senior Environmental Engineer",116497
"11 - 20 years","Senior Environmental Scientist",117500
"11 - 20 years","Senior Environmental Scientist ",85497
"11 - 20 years","Senior Evaluation Manager",91497
"11 - 20 years","Senior Evaluation Officer",118497
"11 - 20 years","Senior Event Officer",102497
"11 - 20 years","Senior Event Planner",58000
"11 - 20 years","Senior Executive admin assistant",90000
"11 - 20 years","Senior Executive Assistant",446894
"11 - 20 years","Senior Facility Manager",153000
"11 - 20 years","Senior Fellow",122497
"11 - 20 years","Senior Field Application Engineer",114094
"11 - 20 years","Senior Field Marketing Manager",83497
"11 - 20 years","Senior Finance Manager",142000
"11 - 20 years","Senior financial administrator ",111997
"11 - 20 years","Senior Financial Analyst",862588
"11 - 20 years","Senior Financial Analyst ",279971
"11 - 20 years","Senior Financial Analyst FP&A",112000
"11 - 20 years","Senior Financial Analyst- Mergers and Acquisitions ",126500
"11 - 20 years","Senior Financial Receivables Coordinator ",57988
"11 - 20 years","Senior Financial Services Support",99300
"11 - 20 years","Senior Fiscal Analyst",155000
"11 - 20 years","Senior FP&A (Financial Planing and Analysis) Analyst",65897
"11 - 20 years","Senior Fraud Investigations Officer ",88000
"11 - 20 years","Senior Front End Developer",143497
"11 - 20 years","Senior front end Developer ",144497
"11 - 20 years","Senior Frontend Developer",153497
"11 - 20 years","Senior Frontend Engineer",225197
"11 - 20 years","Senior GIS Analyst",151219
"11 - 20 years","Senior Grants Administrator",88497
"11 - 20 years","Senior Grants Specialist",118497
"11 - 20 years","Senior Graphic Designer",249494
"11 - 20 years","Senior Health Policy Advisor",93500
"11 - 20 years","Senior health systems engineer",119497
"11 - 20 years","Senior HR Advisor",138497
"11 - 20 years","Senior HR Analyst",135575
"11 - 20 years","Senior HR Business Partner",144000
"11 - 20 years","Senior HR Generalist",262494
"11 - 20 years","Senior HR Manager",105497
"11 - 20 years","Senior Human Rights Advisor",110626
"11 - 20 years","Senior Hydroelectric Power Utility Engineer",163497
"11 - 20 years","Senior Implementation Manager",104500
"11 - 20 years","Senior Improvement Lead",96500
"11 - 20 years","Senior Information Access officer ",56740
"11 - 20 years","Senior Information Librarian",48497
"11 - 20 years","Senior information officer",173797
"11 - 20 years","Senior instructional designer",169000
"11 - 20 years","Senior Instructor",99497
"11 - 20 years","Senior Integrated Marketing Manager",116000
"11 - 20 years","Senior Integration and Test Engineer",108497
"11 - 20 years","Senior Intelligence Officer",53497
"11 - 20 years","Senior Internal Auditor ",94497
"11 - 20 years","Senior Investment Operations Analyst",130000
"11 - 20 years","Senior iOS Developer",138497
"11 - 20 years","Senior iOS Developer/Consultant ",94000
"11 - 20 years","Senior IT Advisor",125000
"11 - 20 years","Senior IT analyst ",106000
"11 - 20 years","Senior IT Consultant",118000
"11 - 20 years","Senior IT Project Manager",88497
"11 - 20 years","Senior IT Security Analyst",107000
"11 - 20 years","Senior IT Specialist",133497
"11 - 20 years","Senior Labour Relations Advisor",109357
"11 - 20 years","Senior Lead Designer",158000
"11 - 20 years","Senior Learning Solutions Specialist",93500
"11 - 20 years","Senior Leasing Representative",205000
"11 - 20 years","Senior Lecturer",63240
"11 - 20 years","Senior Lecturer ",243994
"11 - 20 years","Senior Legal Counsel",111497
"11 - 20 years","Senior Legal Editor",38200
"11 - 20 years","Senior Librarian",76497
"11 - 20 years","Senior Library Learning Advisor",96067
"11 - 20 years","Senior Library Manager",78497
"11 - 20 years","Senior Manager",3326185
"11 - 20 years","Senior Manager ",301497
"11 - 20 years","Senior Manager - HRIS ",165000
"11 - 20 years","Senior Manager - Marketing",106000
"11 - 20 years","Senior Manager - Support",120000
"11 - 20 years","Senior Manager Accounting",185000
"11 - 20 years","Senior Manager Commercial Finance",107000
"11 - 20 years","Senior Manager Commercialization ",118000
"11 - 20 years","Senior Manager Customer Support",133497
"11 - 20 years","Senior manager digital transformation ",153497
"11 - 20 years","Senior Manager II, People Operations",141000
"11 - 20 years","Senior Manager Media Sales",95600
"11 - 20 years","senior manager network",131100
"11 - 20 years","Senior Manager of Customer Success",168497
"11 - 20 years","Senior Manager of Demand Planning",106634
"11 - 20 years","Senior Manager of Implementation",139122
"11 - 20 years","Senior Manager of Marketing Operations",166000
"11 - 20 years","Senior Manager of Planning",105000
"11 - 20 years","Senior manager of sales ",70497
"11 - 20 years","Senior Manager Service Delivery",88497
"11 - 20 years","Senior Manager, Content Acquisition",113497
"11 - 20 years","Senior Manager, Content Marketing",124000
"11 - 20 years","Senior Manager, Digital Strategy",120497
"11 - 20 years","Senior Manager, Finance",160000
"11 - 20 years","Senior Manager, HR",146000
"11 - 20 years","Senior Manager, HR Operations",143497
"11 - 20 years","Senior Manager, Internal Communications",185000
"11 - 20 years","Senior Manager, IT",166127
"11 - 20 years","Senior Manager, Marketing",214000
"11 - 20 years","Senior Manager, Marketing and Business analytics",210000
"11 - 20 years","Senior Manager, Marketing Operations",150000
"11 - 20 years","Senior Manager, Operations",554700
